complaint_number,title,category,priority,status,agent_name,created_at,sla_deadline,resolved_at
CMP-00001,Cannot login to my account,ACCOUNT ISSUES,Low,Resolved,Agent_D,2024-04-24 04:00:00,2024-04-27 04:00:00,2024-04-30 19:00:00
CMP-00002,Incorrect charge of ₹3115 on my invoice,Billing Issues,Medium,Resolved,Agent_G,2024-04-22 14:00:00,2024-04-24 14:00:00,2024-04-22 15:00:00
CMP-00003,App keeps crashing when I try to download,Technical Problems,Low,Resolved,Agent_E,2024-01-23 23:00:00,2024-01-26 23:00:00,2024-01-24 15:00:00
CMP-00004,Service outage in my area since last week,Service Disruption,High,Open,,2024-04-26 09:00:00,2024-04-27 09:00:00,
CMP-00005,Defective keyboard received in last order,Product Defects,Medium,Assigned,Agent_B,2024-11-07 20:00:00,2024-11-09 20:00:00,
CMP-00006,Order #18675 delayed by 5 days,Delivery Delays,Medium,In Progress,Agent_A,2024-04-27 01:00:00,2024-04-29 01:00:00,
CMP-00007,Service outage in my area since last week,Service Disruption,High,In Progress,Agent_H,2024-03-14 08:00:00,2024-03-15 08:00:00,
CMP-00008,Defective monitor received in last order,Product Defects,Medium,Closed,Agent_H,2024-02-16 01:00:00,2024-02-18 01:00:00,2024-02-18 21:00:00
CMP-00009,Order #24621 delayed by 6 days,Delivery Delays,High,Open,,2025-01-04 03:00:00,2025-01-05 03:00:00,
CMP-00010,Cannot login to my account,Account Issues,Medium,Pending Customer Response,Agent_C,2024-09-16 03:00:00,2024-09-18 03:00:00,
CMP-00011,Order #17592 delayed by 5 days,Delivery Delays,Critical,Escalated,Agent_H,2024-01-10 03:00:00,2024-01-10 07:00:00,
CMP-00012,App keeps crashing when I try to download,Technical Problems,High,Closed,Agent_C,2024-03-06 21:00:00,2024-03-07 21:00:00,2024-03-07 15:00:00
CMP-00013,Cannot login to my account,Account Issues,Medium,In Progress,Agent_F,2024-08-12 16:00:00,2024-08-14 16:00:00,
CMP-00014,Service outage in my area since last week,Service Disruption,Low,Resolved,Agent_A,2024-04-27 02:00:00,2024-04-30 02:00:00,2024-05-01 21:00:00
CMP-00015,Order #56438 delayed by 8 days,Delivery Delays,Medium,Assigned,Agent_H,2024-07-27 06:00:00,2024-07-29 06:00:00,
CMP-00016,Cannot login to my account,Account Issues,Critical,Open,,2024-07-25 23:00:00,2024-07-26 03:00:00,
CMP-00017,App keeps crashing when I try to login,Technical Problems,Medium,Closed,Agent_H,2024-10-08 03:00:00,2024-10-10 03:00:00,2024-10-09 14:00:00
CMP-00018,Incorrect charge of ₹7954 on my invoice,Billing Issues,Low,Open,,2024-07-18 08:00:00,2024-07-21 08:00:00,
CMP-00019,Incorrect charge of ₹8311 on my invoice,Billing Issues,Medium,Pending Customer Response,Agent_F,2024-01-30 01:00:00,2024-02-01 01:00:00,
CMP-00020,Order #84085 delayed by 10 days,Delivery Delays,Low,Resolved,Agent_G,2024-03-02 18:00:00,2024-03-05 18:00:00,2024-03-03 00:00:00
CMP-00021,Defective laptop received in last order,Product Defects,Medium,In Progress,Agent_E,2024-08-22 10:00:00,2024-08-24 10:00:00,
CMP-00022,Defective headphones received in last order,Product Defects,Low,In Progress,Agent_B,2024-05-05 11:00:00,2024-05-08 11:00:00,
CMP-00023,Order #82512 delayed by 4 days,Delivery Delays,Low,Resolved,Agent_E,2024-12-05 03:00:00,2024-12-08 03:00:00,2024-12-08 21:00:00
CMP-00024,Service outage in my area since last week,Service Disruption,High,Resolved,Agent_H,2024-05-08 01:00:00,2024-05-09 01:00:00,2024-05-08 15:00:00
CMP-00025,App keeps crashing when I try to pay,Technical Problems,Medium,In Progress,Agent_A,2024-02-27 02:00:00,2024-02-29 02:00:00,
CMP-00026,Defective router received in last order,Product Defects,High,Resolved,Agent_A,2024-07-02 06:00:00,2024-07-03 06:00:00,2024-07-06 20:00:00
CMP-00027,Service outage in my area since last week,Service Disruption,Critical,Resolved,Agent_G,2024-01-13 05:00:00,2024-01-13 09:00:00,2024-01-15 04:00:00
CMP-00028,App keeps crashing when I try to login,Technical Problems,Medium,Resolved,Agent_H,2024-06-28 09:00:00,2024-06-30 09:00:00,2024-07-01 15:00:00
CMP-00029,Defective headphones received in last order,Product Defects,High,In Progress,Agent_F,2024-01-15 03:00:00,2024-01-16 03:00:00,
CMP-00030,Defective laptop received in last order,Product Defects,Medium,Closed,Agent_B,2024-07-16 18:00:00,2024-07-18 18:00:00,2024-07-16 21:00:00
CMP-00031,Defective keyboard received in last order,Product Defects,Medium,Closed,Agent_F,2024-11-15 10:00:00,2024-11-17 10:00:00,2024-11-18 02:00:00
CMP-00032,Service outage in my area since last week,Service Disruption,Medium,Closed,Agent_C,2024-11-11 18:00:00,2024-11-13 18:00:00,2024-11-13 06:00:00
CMP-00033,App keeps crashing when I try to download,Technical Problems,Medium,Assigned,Agent_H,2025-01-11 05:00:00,2025-01-13 05:00:00,
CMP-00034,Service outage in my area since last week,Service Disruption,High,Assigned,Agent_D,2024-03-16 00:00:00,2024-03-17 00:00:00,
CMP-00035,Order #33053 delayed by 14 days,Delivery Delays,Low,Resolved,Agent_H,2024-07-23 07:00:00,2024-07-26 07:00:00,2024-07-23 08:00:00
CMP-00036,Service outage in my area since last week,Service Disruption,Critical,Open,,2024-03-09 14:00:00,2024-03-09 18:00:00,
CMP-00037,Order #78327 delayed by 9 days,Delivery Delays,Medium,Closed,Agent_H,2024-03-22 23:00:00,2024-03-24 23:00:00,2024-03-27 09:00:00
CMP-00038,Defective monitor received in last order,Product Defects,Medium,In Progress,Agent_B,2024-03-11 04:00:00,2024-03-13 04:00:00,
CMP-00039,Incorrect charge of ₹6732 on my invoice,Billing Issues,Medium,In Progress,Agent_A,2025-01-26 18:00:00,2025-01-28 18:00:00,
CMP-00040,App keeps crashing when I try to upload,Technical Problems,Medium,Resolved,Agent_D,2024-09-06 07:00:00,2024-09-08 07:00:00,2024-09-07 15:00:00
CMP-00041,Service outage in my area since last week,Service Disruption,Critical,Pending Customer Response,Agent_G,2024-10-30 18:00:00,2024-10-30 22:00:00,
CMP-00042,Service outage in my area since last week,Service Disruption,Medium,In Progress,Agent_G,2024-05-22 13:00:00,2024-05-24 13:00:00,
CMP-00043,Cannot login to my account,Account Issues,Low,Closed,Agent_A,2025-01-21 00:00:00,2025-01-24 00:00:00,2025-01-25 02:00:00
CMP-00044,App keeps crashing when I try to upload,TECHNICAL PROBLEMS,High,Resolved,Agent_C,2024-11-06 19:00:00,2024-11-07 19:00:00,2024-11-11 15:00:00
CMP-00045,App keeps crashing when I try to download,Technical Problems,Medium,Resolved,Agent_B,2024-10-30 22:00:00,2024-11-01 22:00:00,2024-11-03 06:00:00
CMP-00046,App keeps crashing when I try to share,Technical Problems,High,Open,,2024-11-27 10:00:00,2024-11-28 10:00:00,
CMP-00047,Cannot login to my account,Account Issues,Low,Assigned,Agent_E,2024-11-11 17:00:00,2024-11-14 17:00:00,
CMP-00048,Defective router received in last order,Product Defects,High,Assigned,Agent_H,2024-10-18 19:00:00,2024-10-19 19:00:00,
CMP-00049,Defective headphones received in last order,Product Defects,Medium,Resolved,Agent_E,2024-10-11 00:00:00,2024-10-13 00:00:00,2024-10-11 13:00:00
CMP-00050,App keeps crashing when I try to upload,Technical Problems,Medium,Open,,2024-05-30 07:00:00,2024-06-01 07:00:00,
CMP-00051,Cannot login to my account,Account Issues,Medium,In Progress,Agent_H,2024-05-18 09:00:00,2024-05-20 09:00:00,
CMP-00052,Service outage in my area since last week,Service Disruption,Low,Resolved,Agent_E,2025-01-05 18:00:00,2025-01-08 18:00:00,2025-01-11 14:00:00
CMP-00053,Service outage in my area since last week,Service Disruption,Medium,Closed,Agent_E,2024-12-23 04:00:00,2024-12-25 04:00:00,2024-12-24 12:00:00
CMP-00054,Defective keyboard received in last order,Product Defects,Critical,In Progress,Agent_B,2024-07-24 15:00:00,2024-07-24 19:00:00,
CMP-00055,Service outage in my area since last week,Service Disruption,Low,Resolved,Agent_D,2025-02-01 16:00:00,2025-02-04 16:00:00,2025-02-04 01:00:00
CMP-00056,Poor response from support team,Customer Service,Medium,Assigned,Agent_B,2024-03-21 07:00:00,2024-03-23 07:00:00,
CMP-00057,Incorrect charge of ₹3741 on my invoice,Billing Issues,Medium,Resolved,Agent_H,2024-02-06 21:00:00,2024-02-08 21:00:00,2024-02-07 14:00:00
CMP-00058,Incorrect charge of ₹7094 on my invoice,Billing Issues,Low,Resolved,Agent_E,2024-08-12 03:00:00,2024-08-15 03:00:00,2024-08-13 18:00:00
