title,category,tags,author,status,view_count,created_at
Employee onboarding handbook — v3,IT Support,ml,Author_I,Draft,0,2024-04-29 16:00:00
Health insurance enrollment — v5,Training Materials,sql|linux|python,Author_C,Approved,3,2025-01-25 10:00:00
Python coding standards — v3,Finance,data,Author_H,Approved,4,2024-11-17 19:00:00
Annual performance review process,Operations,sql|security,Author_B,Rejected,17,2024-07-05 05:00:00
Code review guidelines,Operations,kubernetes,Author_C,Approved,2,2024-11-23 22:00:00
Network firewall configuration,HR Policies,sql,Author_F,Approved,146,2025-01-02 10:00:00
Vendor management workflow — v4,IT Support,data|docker,Author_I,Pending Approval,18,2024-07-04 07:00:00
Docker container best practices,HR Policies,react,Author_C,Approved,4,2024-11-01 14:00:00
Health insurance enrollment,HR Policies,ml,Author_I,Approved,8,2024-08-20 00:00:00
HR leave policy 2024,IT Support,linux,Author_E,Approved,5,2025-01-25 05:00:00
React component library guide,Finance,fastapi,Author_F,Rejected,3,2024-10-17 02:00:00
Vendor management workflow,Finance,ml|aws,Author_I,Pending Approval,84,2024-10-03 23:00:00
AWS cost optimization tips — v3,Training Materials,fastapi|devops|linux|networking,Author_F,Draft,5,2024-02-06 22:00:00
CI/CD pipeline architecture — v1,Infrastructure,security|ml,Author_H,Pending Approval,149,2024-10-22 15:00:00
Vendor management workflow,IT Support,onboarding|policy|linux|aws,Author_A,Approved,6,2024-02-25 07:00:00
Health insurance enrollment — v4,IT Support,linux|fastapi,Author_H,Approved,8,2024-10-03 00:00:00
CI/CD pipeline architecture — v4,Training Materials,networking|python|react|policy,Author_A,Archived,30,2024-08-04 22:00:00
Health insurance enrollment,Training Materials,devops|python|kubernetes,Author_I,Draft,6,2024-09-14 16:00:00
React component library guide — v2,HR Policies,policy|fastapi,Author_J,Pending Approval,0,2024-12-02 18:00:00
Network firewall configuration,IT Support,devops|security|policy,Author_C,Approved,70,2024-02-07 00:00:00
Office expense reimbursement,HR Policies,react|onboarding|fastapi,Author_D,Approved,19,2024-06-03 19:00:00
React component library guide — v5,Infrastructure,networking,Author_C,Pending Approval,1,2024-05-24 19:00:00
Network firewall configuration — v3,Finance,fastapi,Author_G,Approved,5,2024-11-22 08:00:00
Database backup strategy,Training Materials,fastapi,Author_C,Approved,3,2024-03-06 01:00:00
Guide to password manager rollout,IT Support,onboarding,Author_I,Rejected,4,2024-05-01 05:00:00
Disaster recovery procedures,HR Policies,sql|policy|networking,Author_D,Pending Approval,0,2024-08-28 07:00:00
Database backup strategy — v2,IT SUPPORT,policy|onboarding,Author_E,Rejected,16,2024-12-13 17:00:00
Setting up VPN for remote work — v3,IT Support,python|fastapi|kubernetes,Author_G,Approved,107,2024-02-29 12:00:00
Code review guidelines — v4,HR Policies,onboarding|policy,Author_B,Rejected,24,2024-03-04 23:00:00
React component library guide — v4,Infrastructure,docker|react|devops,Author_G,Approved,125,2024-11-11 18:00:00
Health insurance enrollment,Infrastructure,sql|kubernetes|linux|ml,Author_F,Approved,26,2025-01-11 05:00:00
AWS cost optimization tips,Operations,linux,Author_D,Approved,2,2024-01-24 07:00:00
Security incident response plan,HR Policies,data|networking,Author_G,Approved,9,2025-01-19 03:00:00
CI/CD pipeline architecture — v5,Training Materials,networking|linux,Author_B,Approved,97,2024-10-31 10:00:00
Database backup strategy,Operations,linux|docker|aws|react,Author_H,Approved,25,2024-09-23 15:00:00
HR leave policy 2024 — v3,IT Support,networking|docker|fastapi,Author_C,Pending Approval,27,2024-02-02 13:00:00
Health insurance enrollment — v1,IT Support,networking|sql|kubernetes|data,Author_A,Rejected,0,2024-06-29 09:00:00
Kubernetes deployment patterns,Operations,aws|devops,Author_E,Approved,17,2024-07-26 23:00:00
Database backup strategy,Finance,kubernetes|networking|ml|python,Author_B,Approved,0,2024-07-13 10:00:00
 Network firewall configuration — v4,Infrastructure,security|linux|fastapi|aws,Author_A,Approved,16,2025-02-03 20:00:00
Setting up VPN for remote work,IT Support,devops|react,Author_H,Approved,11,2025-01-27 11:00:00
Security incident response plan,Operations,security|fastapi,Author_J,Draft,116,2024-07-11 12:00:00
